,simname,D,Rotation,no_bound,average_height,error,sample_size
0,AS16RHR_v3,0,1,1,2.7550107876405235e-07,1.0913921145947962e-10,10000
1,AS16RHR_v3,0,1,2,2.6963345794796016e-07,8.4160482178701e-11,10000
2,AS16RHR_v3,0,1,3,2.6747145297284696e-07,1.0497009923653086e-10,4914
3,AS16RHR_v3,0,1,4,2.642511135760118e-07,1.781138219665887e-10,862
4,AS16RHR_v3,0,1,5,2.604548478269095e-07,2.910998574751324e-10,25
5,AS16D4HR_v3,1,1,1,2.763049463292317e-07,1.1017287537454378e-10,10000
6,AS16D4HR_v3,1,1,2,2.709281154531392e-07,8.119253107344173e-11,10000
7,AS16D4HR_v3,1,1,3,2.6814482412296546e-07,6.44893710668365e-11,10000
8,AS16D4HR_v3,1,1,4,2.6650627015191837e-07,7.077123659755134e-11,6061
9,AS16D4HR_v3,1,1,5,2.652781943939363e-07,1.155685775697279e-10,1436
10,AS16RHNR_v3,0,0,1,2.7600747083569057e-07,1.0937866511240106e-10,10000
11,AS16RHNR_v3,0,0,2,2.708863469655561e-07,8.440169056824963e-11,10000
12,AS16RHNR_v3,0,0,3,2.6781355930783004e-07,9.504000863893733e-11,4572
13,AS16RHNR_v3,0,0,4,2.6636876326401253e-07,1.9520322279315634e-10,748
14,AS16RHNR_v3,0,0,5,,,0
15,AS16D4HNR_v3,1,0,1,2.7659167652791493e-07,1.0973236067703452e-10,10000
16,AS16D4HNR_v3,1,0,2,2.718731617657461e-07,8.678826060771011e-11,10000
17,AS16D4HNR_v3,1,0,3,2.690215876897562e-07,7.025194951947277e-11,10000
18,AS16D4HNR_v3,1,0,4,2.6771625095625315e-07,8.428672001763144e-11,5306
19,AS16D4HNR_v3,1,0,5,2.667919370952231e-07,1.1036146563293126e-10,2493
